name,cuisine,time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
Caramel ice cream,Italian,45,4 eggs|2 cups heavy cream|½ cup powdered sugar|Pinch of salt|1 cup sugar|1 tsp vanilla extract|1 cup hot water,"Heat sugar and  cup water for 5 minutes in a big skillet on medium high heat until the sugar melts and boils, stirring occasionally.Boil for about 5 minutes until the mixture becomes dark brown in colour; remove from heat.Gradually stir in remaining  cup water. Cool to room temperature and set aside.Beat eggs for 3 minutes in a medium bowl until thick and light yellow; gradually beat in powdered sugar.Stir in cream, salt and vanilla.|Add caramel mixture, gently stir until smooth.Cover and chill for at least 4 hours or overnight.|Pour the mixture into an ice cream machine and churn until frozen.|Transfer to plastic container and place in the freezer for an hour before serving.Serving: take it out for 5-10 minutes before serving, or longer, so it comes to the right scooping temperature.Easy suggestion: ice cream is best served in chilled glass or porcelain bowls. Scoop it with a hot, but dry, ice-cream spoon (soak it in boiling water, then wipe dry).",481,dessert,gluten free|lacto ovo vegetarian,0,6,https://spoonacular.com/recipeImages/637008-556x370.jpg
Carrot Raisin Chocolate Chip Cookies,American,45,1 - 21.40 oz. - Duncan Hines Classic Decadent Cake Mix|2 - Eggs|1 - Stick Butter (soft)|1 C. - Hot Water|1/4 C. - Mini Chocolate Chips,"Preheat oven to 350 degrees. Hydrate the carrot and raisin packet (from the cake mix box) in the 1 cup of hot water for 5 minutes.|Drain and squeeze out the extra water. Beat the butter, cake mix and eggs until just combined then add the carrots and raisins and mix well. Stir in the chocolate chips until well combined, using a small ice-cream scoop place cookies on a parchment lined baking sheet about 2 inches apart. Using a knife or offset spatula smooth the top of the cookies.|Bake for 12 minutes then let cool on baking sheet for 1 minute before transferring to a cooling rack. Once cookies are completely cooled frost with some cream cheese frosting or eat plain.",95,dessert,,0,36,https://spoonacular.com/recipeImages/637218-556x370.jpg
Cedar-Planked Salmon With Mustard Dill Sauce,American,45,"4 salmon, fillets, (about 1 lb total)|2 tablespoons olive oil|1 teaspoon grated lemon, rind|2 tablespoons lemon, juice|1 tablespoon chopped fresh chives or 1 tbsp chopped green onion|2 teaspoons Dijon mustard|1 pinch salt|1 pinch pepper|1 cup sour cream|2 tablespoons finely chopped cucumber|1 tablespoon chopped fresh dill or ½ tsp dried dill, weed|2 teaspoons minced fresh chives or 2 tsp minced green onion","Soak two 12- x 7-inch (30 x 18 cm) untreated cedar planks in water for at least 30 minutes or for up to 24 hours.|Place salmon fillets on top of each plank.|In small bowl, whisk together oil, lemon rind and juice, chives, mustard, salt and pepper; brush some over salmon.|Place planks on grill over medium-high heat; close lid and cook, brushing with remaining lemon mixture for about 20 minutes or until fish flakes easily when tested with fork.|Dill Sauce:Meanwhile, in small bowl, combine sour cream, cucumber, dill, chives, salt and pepper.|Serve planks on platter with dill sauce.",284,lunch|main course|main dish|dinner,gluten free|primal|pescatarian|ketogenic,37,6,https://spoonacular.com/recipeImages/637335-556x370.jpg
Cheesy Turkey Meatballs,Italian,45,"1 cup BBQ Sauce|3/4 cup toasted breadcrumbs|1 Carrot, Shredded|1 Egg|1 clove garlic|1 pound of Ground Turkey|1 cup milk|1 cup onion, finely diced|1/4 teaspoon Pepper|salt to taste|1/2 cup of Shredded Cheddar|1 teaspoon of Worcestershire","Add together in a large bowl your turkey, breadcrumbs, egg, salt, Worcestershire, milk, carrot, onion, cheese, garlic and pepper.|Mix it together well.  I actually use my hands to mix it together (after a good washing of course).  Its just easier and youre going to need to get dirty anyway to make the meatballs.  Once youve mixed it up good, grab small handfuls of your meat mixture, roll them into balls.|Heat up about a tablespoon of oil in a large skillet on medium high heat.  When the oil is heated up, drop your balls into the pan.Cook for about 5 to 10 minutes, flipping to all sides, until they are cooked through.  Once they are cooked up, drain any leftover oil and add in your bbq sauce.|Heat and serve.",449,lunch|main course|main dish|dinner,,18,4,https://spoonacular.com/recipeImages/637690-556x370.jpg
Cherry Lime Mojito,Mediterranean,45,"4 cherries, pitted and quartered|6 mint leaves|1/4 lime cut into wedges|1 1/2 teaspoons demerara sugar|2 ounces white rum|1 cup carbonated water (I used Lime flavored San Pellegrino)","Place cherries, mint, sugar and lime in a tall glass.|Muddle ingredients together at the bottom of the glass.|Add a few ice cubes and pour in the rum.|Fill the glass the rest of the way with carbonated water and serve.",184,beverage|drink,gluten free|dairy free|lacto ovo vegetarian|vegan,0,1,https://spoonacular.com/recipeImages/637766-556x370.jpg
Cherry Pancakes for One,British,45,"1/4-cup greek yogurt, non fat , plain|1 egg whites|1/2-tsp almond extract|3 Tbsp. whole-wheat pastry flour|1/4-tsp baking soda|1/4 tsp sugar|Dash of Salt|1/3 cup whole cherries, pitted, cut in half or in quarters depending on size of cherries|1/2 cups cherries, pitted, cut in half|1/4 cup pancake syrup (I used Mrs. Butterworths sugar free syrup)","Mix greek yogurt, egg white & almond extract into a small bowl|In a separate bowl combine flour, baking soda, sugar, & salt|Combine and whisk till evenly mixed|Fold in 1/3 cup cherries|Place 1/4-cup batter onto non-stick skillet and cook till bubbles start appearing through the top of the pancake and then flip. NOTE: Cook on medium heat and I flattened out my batter with the spatula to cook more evenly.|About 1-2 minutes on each side|In a sauce pan add 1/2 cup whole pitted cherries and maple syrup. Set temperature on medium, and when it starts to simmer, set the temperature to low and cook until thick and bubbly. Its done about the same time your pancakes are.",100,morning meal|brunch|breakfast,lacto ovo vegetarian,2,3,https://spoonacular.com/recipeImages/637776-556x370.jpg
Chewy Gingersnaps,American,45,1 teaspoon baking soda|3/4 cup brown sugar|1 cup butter|2 1/2 cinnamon|2 eggs|2 cup flour|3 teaspoons ginger|1 teaspoon kosher salt|1/2 cup molasses|3/4 cup oil|of white pepper|1 cup white sugar,"Preheat oven to 325 F (160 C)In a large bowl, stir flour, baking soda, salt and spices together|In another bowl, cream the butter, oil and sugars together.Beat in the eggs one at a time, followed by the molasses|Stir in the dry ingredients until everything is well mixed.Shape the dough into small balls and roll in sugar before placing on a baking tray that has been lined with parchment paper.|Bake for 8 minutes (they will still seem a bit underdone when you first take them out).",71,dessert,lacto ovo vegetarian,0,75,https://spoonacular.com/recipeImages/637824-556x370.jpg
Chicken Enchilada Casserole,Mexican,45,2 10oz cans verde enchilada sauce|2 cups shredded cheese|1 lb shredded chicken pre cooked|1 10oz can tomatoes with green chilis|1 15oz can refried beans|6-8 flour tortillas torn into bite sized pieces|green onion tops optional,"Heat oven to 37|Prepare a 9 x 13 baking dish and begin by placing a layer of tortillas on the bottom of the dish.|Then add a layer of chicken and 1/4 a cup of the shredded cheese.|Add on half a can of tomatoes and green chilies and one can of the verde enchilada sauce.|Finish the layer with a half a can of the refried beans.|Then cover with another layer of flour tortilla pieces, and start the layering process again.|Once you are finished layering, cover the top with the remaining shredded cheese.|Cover with foil, and then bake in the oven for 30 minutes.|Remove the foil, add a few green onion tops, and bake for an additional 5 minutes until the cheese is melted and bubbly. Allow to sit for 10-15 minutes to allow to cool before serving. Serving any sooner may give you a soupy, but still delicious dinner.",224,side dish|lunch|main course|main dish|dinner,,12,8,https://spoonacular.com/recipeImages/715394-556x370.jpg
Chicken Farfalle with Low-Fat Alfredo Sauce,Italian,45,"Black pepper to taste|– 1 1/2 Tbs. butter|1 pound Boneless Chicken Breasts|– 1 lb. farfalle pasta|Flour|1 tablespoon garlic powder|– 1 lemon, juiced|2 teaspoons Parmesan Cheese|Salt to taste|– 1 1/2 cups, skim milk|– 1/3 cup white wine","Cook chicken breasts (I sauteed mine with a little olive oil and salt and pepper) and set aside. Cook pasta while cooking the chicken and set aside.|In a sauce pan, melt butter.|Add flour and stir in with butter, cook for 1 minute.|Whisk in milk, salt and pepper, garlic powder, lemon juice, and wine. Bring to a boil, constantly whisking. Reduce the heat and simmer for about 5 more minutes. Sauce should thicken.|In a large saute pan, add pasta, chicken, and any other desired additions.|Heat pan on medium heat.|Add alfredo sauce and toss with pasta.|Sprinkle with Parmesan cheese and additional salt and pepper (if needed) and serve!Notes: This recipe made more sauce than I really needed, but I liked having extra. This way, you can add as much sauce as you prefer!",674,side dish|lunch|main course|main dish|dinner,,26,4,https://spoonacular.com/recipeImages/638088-556x370.jpg
Chicken Piccata With Angel Hair Pasta,Italian,45,"1/2 cup All Purpose Flour|1/3 pound Angel Hair Pasta|1 boneless Chicken Breast|2 Tablespoons Capers|1 cup Chicken Broth|2 tablespoons Fresh Basil, chiffonade|2 Garlic Cloves, finely diced|Kosher Salt and Black Pepper|1 teaspoon Lemon Zest, freshly grated|2 lemons|3 tablespoons Olive Oil|1/4 teaspoon Red Chili Flakes|1/2 cup Roma Tomatoes, diced|1 Tablespoon Unsalted Butter","Place  cup of flour in a shallow dish. Using a sharp knife, slice chicken breast in half.|Place a piece of wax paper on top of each piece of chicken and pound with a kitchen mallet until it is about  inch thin. Season the chicken well with salt and pepper.  Take the chicken and roll it into the flour, using your fingers to assist in adhering it to the meat. Carefully shake off excess flour. Repeat with second piece of chicken.In a large skillet, heat 2 tablespoons olive oil over medium heat. Slide chicken into the skillet and saute on each side until it becomes golden brown, about 3-4 minutes each side. Once chicken is done, transfer to a clean plate and tent with a sheet of aluminum foil.Begin boiling the pasta.Using the same skillet, add remaining olive oil and saute garlic until it becomes aromatic but not browned.|Add chili flakes, capers, lemon juice, lemon slices, zest, and chicken broth. Use a wooden spoon to scrape off the tasty brown bits from the bottom of the skillet. Raise the temperature to medium high heat and allow the liquid to reduce by almost half. While the liquid is reducing, use a fork to mash together remaining 1 tablespoon of flour and butter in a small bowl.|Whisk it into the reducing liquid and allow to cook for 1-2 minutes. Be sure to whisk out any lumps of flour. Check for seasonings and adjust with salt/pepper accordingly.|Drain the cooked pasta. Toss the pasta in the lemon caper sauce, tomatoes, and basil, reserving a few spoonfuls of sauce. Check for seasonings and adjust with salt/pepper accordingly. Plate pasta and top each with a piece of chicken. Spoon extra lemon caper sauce over the chicken and pasta.|Serve immediately.",816,lunch|main course|main dish|dinner,,34,2,https://spoonacular.com/recipeImages/638248-556x370.jpg
Chicken Ranch Burgers,American,25,½ medium bell pepper (chopped)|½ cup bread crumbs|½ cup purple onion (chopped)|1 packet Ranch seasoning|1 lb of lean shredded chicken,"Heat oven to 40|Add chicken, onion, pepper, bread crumbs, and ranch seasoning to a mixing bowl.|Mix ingredients well.|Scoop and make 3 large burger patties.|Place in skillet and cook on medium low heat to sear juices and brown the patties.|Place skillet with patties into the oven and bake for 15 minutes, or until patties are cooked thoroughly.|Serve with your favorite toppings.",365,lunch|main course|main dish|dinner,dairy free,28,3,https://spoonacular.com/recipeImages/991010-556x370.jpg
"Chicken Sausage, White Bean and Cabbage Soup",French,45,"1 tablespoon olive oil|1 medium white onion, small dice (about 2 cups chopped)|2 carrots, peeled and diced|1/2 teaspoon salt|1/4 teaspoon black pepper|1 clove garlic, minced|1/4 teaspoon crushed red pepper flakes|1 pound mild Italian chicken sausage|5 cups low sodium chicken or vegetable stock|15 oz can white beans, drained and rinsed|1/2 head green cabbage","In a large pot, heat oil over medium heat.|Saute onions until tender, about 8 minutes.|Add carrots and continue cooking for another 5 minutes.|Season with salt, pepper, garlic and red pepper flakes; cook for another minute.|Remove sausage from casing and break into small chunks in the pot.|Toss with vegetables to brown meat, cooking for another 8-10 minutes.|Pour in stock, enough to cover everything; bring to a simmer.|Add white beans and cabbage, stirring to combine.|Simmer, covered, until cabbage is wilted but not mushy, about 10 minutes.|Generally the sausage will contain enough salt for the soup, but check seasoning and add more salt or pepper if needed.",312,lunch|soup|main course|main dish|dinner,gluten free|dairy free,18,6,https://spoonacular.com/recipeImages/638315-556x370.jpg
Chicken Stew For The Soul,Mexican,45,5 cardamoms|1 kg chicken|1 cinnamon stick broken|1 cup coconut milk|1 sprig curry leaves|fresh coriander|1/2 teaspoon garam masala|3 teaspoons ginger garlic paste|1 teaspoon ginger-garlic paste|2 green chillies|1 teaspoon ground red chilli|1 teaspoon ground coriander|1 teaspoon ground tumeric|juice of 1 lemon|1 large onion|2 potatoes|salt to taste,"Slice the onions, slit the chillies, cube the potatoes and keep aside.|Heat oil in a heavy bottomed pan or pressure cooker, splutter mustard seeds.|Add the whole spices and stir till you begin to get the aroma of the spices.|Add sliced onions,curry leaves and green chillies and saute.Stir in the ground coriander and add the marinaded chicken. Stir so that the chicken is covered well in the sauteed mixture.Cover and let it cook. When it is half done add the cubed potatoes.When the chicken is almost done add the garam masala,salt and coconut milk and stir.When done put off the heat and garnish with chopped fresh coriander.Have I forgotten the most important ingredient? Stir it with lots of love for the family and friends who will partake of the meal.|Serve hot chicken stew with freshly made appams.",328,lunch|soup|main course|main dish|dinner,gluten free|dairy free|whole 30,9,6,https://spoonacular.com/recipeImages/638343-556x370.jpg
Chili chops with cauliflower salad,American,45,"800 gr.s of Italian little pomodori tomatoes a can, with their juice ( This means 2 cans ). I used the brand Ci|1 medium head cauliflower, broken into small florets|2 Tbs cream cheese|1 tsp cumin|½ tsp dried tarragon|½ tsp fresh parsley, chopped|130g green chilies, drained and diced|2 Tbs fresh lemon juice|¼ cup mayonnaise|1 tsp oil|4 boneless pork chops (about 1 pound)|2 Tbs green or red bell pepper, chopped|salt to taste|Salt and pepper|1/3 cup Cheddar or Swiss cheese, grated","Season chops with salt and pepper and brown them in a nonstick skillet over medium-high heat for about 2 minutes per side.|Combine salsa, chilies and cumin in a bowl.|Pour mixture over chops. Reduce heat to low, cover skillet and simmer chops 5 minutes or until cooked through.|Mix cheeses in a bowl. Divide cheese mixture over chops, cover and cook 1 minute, just until cheese melts.Cauliflower salad:Cook cauliflower florets in a large pot of salted, boiling water until tender-crisp, 5 to 10 minutes.|Drain and rinse under cold water.Or cook in MWC for 15 minutes.In a large bowl, combine mayonnaise, lemon juice and tarragon.|Add cauliflower, jalapeno, salt and pepper.|Mix well until cauliflower florets are evenly coated with dressing. Chill at least 30 minutes for flavors to blend. (Can be made ahead. Store in an airtight container and refrigerate up to 24 hours.)|Sprinkle with parsley just before serving.",455,lunch|soup|main course|main dish|dinner,gluten free,40,4,https://spoonacular.com/recipeImages/638552-556x370.jpg
Chilled Cucumber Avocado Soup with Yogurt and Kefir,Indian,45,"1/2 avocado|5-6 persian cucumbers|small handful of grapes|juice of 1 lemon|1/2 cup plain kefir (can substitute buttermilk)|1/2 cup plain Greek yogurt|1/4 cup chopped red onion|salt and pepper, to taste|4 scallions",,189,antipasti|soup|starter|snack|appetizer|antipasto|hor doeuvre,gluten free|lacto ovo vegetarian|primal,40,3,https://spoonacular.com/recipeImages/716437-556x370.jpg
Chimichurri Skirt Steak with Grilled Asparagus,Mexican,45,"1 pound green or white asparagus, woody ends snapped off & discarded|1/2 teaspoon chili pepper flakes|1 cup flat leaf parsley, lightly packed & rough chopped|¼ cup fresh mint leaves|3 to 5 garlic cloves, rough chopped|4 garlic cloves, peeled|Kosher salt|3 tablespoons lemon juice|1/4 cup of extra-virgin olive oil|¼ cup fresh oregano leaves|1 teaspoon freshly ground pepper|Freshly cracked black pepper|2 tablespoons Red wine vinegar|2 tablespoons shallot, chopped|2 skirt steaks","Place all chimichurri sauce ingredients except for the olive oil in a food processor &amp pulse until well chopped. While the food processor is going, slowly pour the olive oil into the mixture until blended.  Reserve half of the sauce to serve on the side with the meal.Season skirt steaks with salt &amp pepper on bother sides.  Spoon the remaining chimichurri sauce over the steaks &amp let marinate for 30 minutes up to overnight.Pre-heat the grill to 350 to 400 F.In a plastic resealable bag, add asparagus, olive oil, garlic, salt &amp pepper.  Shake to coat &amp place in a grill basket.|Place the steak &amp grill basket of asparagus directly over a hot grill.  Gently toss the asparagus for even grilling &amp baste with garlic, olive oil mixture  10 minutes.Grill the skirt steak to desired temperature  5 to 8 minutes per side.|Remove from grill &amp let steak rest for 10 minutes before slice long strips.  Spoon reserved chimichurri sauce over steak &amp serve with asparagus on the side.",144,lunch|main course|main dish|dinner,gluten free|dairy free|paleolithic|primal|whole 30|ketogenic,66,4,https://spoonacular.com/recipeImages/638626-556x370.jpg
Chocolate Banoffee Pie,Mediterranean,240,"2 large ripe bananas, or 3 medium ones|• 100g butter|• 270g chocolate digestives/plain chocolate cookies|• 40g salted crackers|• 300ml thickened cream|• 100g dark brown sugar (richer)|• 300g Dark Chocolate|• 2 Tbs icing mixture/sugar|• 400g sweetened condensed milk|• 1 tsp vanilla essence","Preheat oven to 180 degrees CProcess chocolate digestives and salted crackers in a food processor till crumbs|Mix the cookie/cracker crumbs with the browned butter and stir till combined and sticky (this is SO delicious, try not to eat it all!)Get a 20cm diameter tart tin with a loose base and press the crumbly cookie mixture into it, filling out the shape. Make sure to press down the back of a spoon, and use damp hands to aid the process of putting it up the sides.Chill for 20 minutes and then put to bake for 8-10 minutes. (|Place it on top of a tray with baking paper since butter will leak a little)|Remove from the oven and let sit to room temperature.Start making the toffee by placing melting the butter and brown sugar over medium-low heat till smooth.|Add in the sweetened condensed milk and bring to boiling point, before removing from heat. Make sure the mixture is thick and golden.|Add in the vanilla essence.|Let cool for 1/2 hour to 45 minutes, or till not hot to touch.Lightly coat the bottom of the tart shell with a few spoonfuls of the toffee sauce,|Place a layer of bananas on top, making sure there are not banana pieces one on top of the other.|Pour a generous helping of the sauce on top, making sure to cover the bananas.Depending on your tart shells depth, add another layer of bananas on top, then another layer of sauce.|Place into the fridge to chill for 2-3 hours.Meanwhile make the whipped cream by whipping the thickened cream with the vanilla essence and icing mixture till it holds its peak.Meanwhile make the dark chocolate shards: Melt the chocolate in 20 second bursts in the microwave and pour onto a piece of baking paper.|Spread using a flat spatula, leaving a thin coating of chocolate.|Place in the fridge (if it is wonky, no worries) and remove from the fridge after an hour. Break into pieces to use.Assemble the tart: Pipe little cornets all over the tart. Arrange pieces of chocolate shard on top artfully.",860,dessert,,7,8,https://spoonacular.com/recipeImages/638832-556x370.jpg
Chocolate Fudge Cookies,Mexican,20,"2/3 cup butter, softened|4 tablespoons canola oil|1/4 cup chocolate chips - dark chocolate or white|1 egg|1 15.25 oz package Betty Crocker Chocolate Fudge Cake Mix|2 tablespoons peanut butter|1 cup rolled oats|1 teaspoon vanilla|1/4 cup whole milk","Preheat oven 350 degrees.Using a stand mixer or food processor, combine all of the ingredients and mix until combined.Spoon the dough onto prepared cookies sheets and press down gently with the back of a spoon.|Bake for 6-8 minutes.|Transfer to a wire rack and let cool.  Enjoy!",178,dessert,,0,24,https://spoonacular.com/recipeImages/639031-556x370.jpg
Chocolate Hazelnut Mousse,American,45,1 1/2 cups whipping cream|1/2 cup Nutella spread|2 tablespoons hot water (not boiling)|2 teaspoons instant espresso|Dash of Kahlua|6 Chocolate-hazelnut pirouette cookies|Chocolate and chopped hazelnuts for topping,"Dissolve instant espresso in hot water in a medium sized bowl.|Add the Nutella and Kahlua, beating until smooth.|In a mixer, whip the whipping cream until it forms stiff peaks. Gently fold the nutella mixture into the whipped cream until the color is uniform.|Divide mousse into serving glasses- martini glasses work great!|Add toasted hazelnuts, chocolate shavings, and pirouette cookies for decoration",775,,,14,4,https://spoonacular.com/recipeImages/639054-556x370.jpg
Chocolate Peanut Butter No-Bake Dessert,French,45,"20 Oreo cookies, divided|2 tablespoons butter, softened|1 package (8 oz.) cream cheese, softened|1/2 cup peanut butter|1-1/2 cups confectioners sugar, divided|1 carton (16 ounces) frozen whipped topping, thawed, divided|15-20 miniature peanut butter cups, chopped|1 cup cold milk|1 package (3.9 ounces) instant chocolate pudding mix","Crush 16 cookies; toss with the butter. Press into an ungreased 9-inch square dish; set aside. In a large bowl, beat the cream cheese, peanut butter and 1 cup confectioners sugar until smooth. Fold in half of the whipped topping.|Spread over crust.|Sprinkle with chopped peanut butter cups. In another large bowl, beat the milk, pudding mix and remaining confectioners sugar on low speed for 2 minutes|Let stand for 2 minutes or until soft-set. Fold in remaining whipped topping.|Spread over peanut butter cups. Crush remaining cookies; sprinkle over the top. Cover and chill for at least 3 hours.",633,condiment|dip|spread,,2,9,https://spoonacular.com/recipeImages/639153-556x370.jpg
Chocolate Wafers,British,45,"1 cup AP flour|1/4 teaspoon baking soda|1/2 cup brown sugar, lump free|1 large egg white|3 teaspoons margarine|1/4 teaspoon salt|3 teaspoons unsalted butter, slightly softened|1/2 cup unsweetened cocoa powder, preferably Dutch process|1 teaspoon vanilla extract","Combine the flour, cocoa, baking soda, and salt in a small bowl and mix together thoroughly with a whisk or fork. Set aside.Beat the butter and margarine with an electric mixer for a few seconds just until blended.|Add the granulated sugar, brown sugar, and vanilla and beat at high speed for about 1 minute.Beat in the egg white.|Add the flour mixture and mix on low speed, just until incorporated.Gather the dough together with your hands and form it into a 9- to 10-inch log.Wrap the log in wax paper or foil. Fold or twist the ends of the paper without pinching or flattening the log|Refrigerate for at least 45 minutes, or until needed.Preheat the oven to 350F. Position racks in the upper and lower thirds of the oven.Use a sharp knife to cut the dough log into slices a scant 1/4"" thick.|Place 1 inch apart on cookie sheets and bake for 12 - 14 minutes, or until the cookies puff and crackle on top, then begin to settle down slightly.Rotate baking sheets from top to bottom and front to back about halfway through the baking time to ensure even baking.Slide the parchment or foil onto cooling racks and cool the cookies completely before storing or stacking.",30,dessert,,0,40,https://spoonacular.com/recipeImages/639234-556x370.jpg
Chocolatey Overnight Oats with Strawberries,Mediterranean,45,"1 tsp agave nectar (or honey)|1/3 cup almond milk|1/2 Tbs chia seeds|1 Tbs cocoa powder|1/2 cup non-fat Greek yogurt|1/3 cup oatmeal|3 large strawberries, sliced","Mix all the ingredients, except for the strawberries.|Place a bit of the oatmeal batter into a jar or other airtight container.|Add slices of strawberries on top.|Add another layer of oatmeal batter and strawberries. Top with the remaining oatmeal batter.Put it in the refrigerator overnight.Enjoy!",217,morning meal|brunch|breakfast,gluten free,15,1,https://spoonacular.com/recipeImages/639303-556x370.jpg
Chorizo and Beef Quinoa Stuffed Pepper,French,30,bell peppers|½ tsp cayenne|¼ tsp chili powder|1 pound chorizo|¼ tsp cumin|green onion tops|¼ cup mixed monterrey jack and cheddar cheese|1 pound lean ground beef|1 cup quinoa,"The first thing you will want to do is heat the oven to 350, boil the water for the quinoa, and in a separate skillet brown the beef and chorizo together.|Drain the meat mixture well, and then place into a medium mixing bowl.Once your quinoa is fully cooked, add it to the mixing bowl.|Add the green onion tops, cumin, cayenne, chili powder, and monterrey jack and cheddar cheese.|Mix well.|Cut the tops from your bell peppers and scoop out any remaining seeds.Then take your meat mixture and start stuffing the bell peppers until they are full.|Sprinkle with a little cheese and then bake in the oven for about 10 minutes until the bell pepper has softened.|Serve immediately.",685,lunch|main course|main dish|dinner,gluten free,34,4,https://spoonacular.com/recipeImages/715523-556x370.jpg
Cinnamon Eggless Coffee Cake,American,45,1 cup of All purpose Flour|1/2 cup of wholewheat flour|1 cup of powdered sugar|6 tablespoons of vegetable oil|1 tablespoon Vinegar|1/2 teaspoon of instant coffee powder|1 teaspoon of Cinnamon powder|1 teaspoon of Baking soda|1/2 teaspoon of salt|1 teaspoon of Vanilla essence|1/2 cup of Curd or Yogurt|1/2 cup of strong coffee decoction,"Preheat the oven for 10 minutes at 180C. Grease a rectangular tin for baking the cake and keep it aside. Take a big vessel and sift the two kinds of flour with baking powder, coffee, powder, cinnamon powder and salt for at least three times.|Take another vessel and beat powdered sugar and oil till it is light and fluffy , for about 10 minutes.|Add the curd, coffee decoction, vanilla essence and vinegar in the sugar and oil mixture and stir it thoroughly. Keep 1 tsp. of sugar aside.|Gently mix in the liquid mix in the dry flour.|Mix the whole batter very lightly till it resembles a uniform paste. Do not over mix, just 10-12 strokes will do.|Pour the prepared batter in the baking tin and sprinkle 1 tsp. of sugar over it.|Bake it at 180C for about 25-30 minutes or till done.|Insert a clean knife and take it out, if it comes clean the cinnamon tea cake is ready, else bake it for few more minutes.|Take out of the oven and let it cool on a wire rack.|Cut it in desired shape and serve with tea or coffee. Stays good for a week.",328,morning meal|dessert|brunch|breakfast,lacto ovo vegetarian,1,6,https://spoonacular.com/recipeImages/639456-556x370.jpg
Cinnamon Mocha Quick Bread,French,45,4 cups all-purpose flour|2 cups granulated sugar (divided)|3 teaspoons instant coffee granules|1 tablespoon cocoa|2 teaspoons baking soda|1 teaspoon salt|2 eggs|2 cups buttermilk|1/2 cup canola oil|3 teaspoons ground cinnamon|Optional: 1/2 cup raisins,"In a bowl, combine the flour, 1 1/2 cups sugar, coffee granules, cocoa, baking soda, and salt. In a small bowl, whisk the eggs, buttermilk and oil. Stir into the dry ingredients just until moistened. (Optional -- fold in raisins)|Transfer a fourth of the batter into each of two greased 8""x4"" loaf pans.|Combine cinnamon and remaining sugar; sprinkle half over batter in each loaf pan. Repeat layers.|Cut through batter with a knife to swirl.|Bake at 350 degrees for 55 to 60 minutes or until a toothpick inserted near the center comes out clean. Cool in pans for 10 minutes; remove from pans to wire racks to cool completely.",459,morning meal|dessert|brunch|breakfast,lacto ovo vegetarian,2,16,https://spoonacular.com/recipeImages/639465-556x370.jpg
Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather,French,45,"1 ounce can Garbanzo beans, drained|2 tablespoons dried currants|2 green onions, chopped|1/2 teaspoon ground cumin|1 cup whole wheat Israeli couscous|1 orange, juice and zest|1 tablespoon olive oil|parsley|1/4 cup chopped pecans, toasted|1 piece small red bell pepper|1 teaspoon rice vinegar|Salt and pepper, to taste|1/8 teaspoon smoked paprika",Prepare couscous according to package instructions. Meanwhile combine all remaining ingredients in a medium mixing bowl.|Drain couscous and add to bowl while still hot. Thoroughly mix all ingredients. Taste and adjust seasonings.|Serve warm.,570,side dish|lunch|main course|salad|main dish|dinner,dairy free|lacto ovo vegetarian|vegan,72,2,https://spoonacular.com/recipeImages/639535-556x370.jpg
Classic Buttermilk Pie,Mexican,75,1/2 cup melted butter|1 1/4 cup buttermilk|3 eggs|2 tablespoons flour|1 cup sugar|1 unbaked 9-inch pie shell (see below)|1 teaspoon vanilla extract,"Preheat oven to 325 degrees.Beat eggs slightly and add sugar and flour. Then add melted butter and mix well.|Add buttermilk and vanilla and mix.Dust the unbaked pie shell with a little bit of flour.|Pour batter into shell, and then sprinkle a little more flour on top.|Bake at 325 degrees until the custard is set, approximately 1 hour.",280,dessert,,0,10,https://spoonacular.com/recipeImages/639578-556x370.jpg
Classic Daiquiri Cocktail,American,45,1 ounce fresh lime juice|1 lime wedge|2 ounces white rum|1/2 ounce simple syrup,Combine all but the lime wedge with ice.Shake well.Strain.|Serve up with a wedge of lime.,182,beverage|drink,gluten free|dairy free|lacto ovo vegetarian|fodmap friendly|vegan,0,1,https://spoonacular.com/recipeImages/639593-556x370.jpg
Classic French Onion Soup,French,45,"¼ cup salted butter|4-6 yellow onions, finely sliced|¼ Tsp. flour|½ cup sherry|5 cups beef broth|3 sprigs fresh thyme|3 sprigs fresh parsley|1 bay leaf|salt and pepper to taste|4 slices of a crusty French baguette|1 cup gruyere cheese, shredded","Preheat oven to 400|In a large Dutch oven, melt butter over medium heat.|Add onions to the pot and sprinkle with flour. Reduce heat to medium low and cook for 45 minutes stirring occasionally. If the onions are cooking too quickly, reduce heat.|When the onions are tender and golden in colour, de-glaze the pan with sherry.|Pour beef broth into the pot and bring to a boil over medium heat.|Add herbs, salt and pepper to taste.|Reduce heat and simmer for 15 minutes.|Spray a cookie sheet with cooking spray. Butter slices of French bread and bake in the oven for 5-10 minutes until very dry. Set aside.|Remove herb stalks and bay leaf.|Ladle soup portions into four oven safe ramekins. Top with crusty French bread and sprinkle with cheese.|Place ramekins on a cookie sheet and bake uncovered at 400 for 5-10 minutes until cheese is bubbling. Broil for one minute more to brown the top.|Serve warm.|Serves 4",412,lunch|soup|main course|main dish|dinner,,5,4,https://spoonacular.com/recipeImages/639597-556x370.jpg
